overlay,sample_id,chart_id,decision,reason,analysis_status
phase2_review_24_s03314.png,3314,9b1581bf72f70be8d68b92e9c9226411207f46ee6db10e14f3990c5f24adca12,reject,bar_count_out_of_scope,bar_count_out_of_scope
phase2_review_25_s02026.png,2026,2df03ca835cf3c49832fe230e80cc3804da9c437af070e69ae05dbb2ba66e371,reject,direct_data_value_or_numeric_annotation_present,direct_data_value_or_numeric_annotation_present
phase2_review_26_s08847.png,8847,a1b78d3197ea667cba924ac910c026c45608f23bffaf23272172e05045799e12,reject,multiple_y_axes_or_panels,multiple_y_axes_or_panels
phase2_review_27_s08401.png,8401,5adcc52d12a76950b0ef7a7e916430cc2266f803e3c1ea00b50d523b142a8626,reject,x_axis_labels_unreadable_or_grouped_bars,x_axis_labels_unreadable_or_grouped_bars
phase2_review_28_s07584.png,7584,8f56fe7b404c4c2e16d7d7c13ec61611652344358e2edc904494108ad276ba53,reject,bar_count_out_of_scope,bar_count_out_of_scope
phase2_review_29_s06070.png,6070,d4417c5f6d4ccecd3af15903754046910e6d830d13cf35e8e805edb6653e57f9,reject,direct_data_value_or_numeric_annotation_present,direct_data_value_or_numeric_annotation_present
phase2_review_30_s05448.png,5448,38f15cf099ed9e93bb9b54371ac38627ff959e10a73ce518ca1951349e4ea32d,reject,multiple_y_axes_or_panels,multiple_y_axes_or_panels
phase2_review_31_s01478.png,1478,530442083b92c90210dbb70761a57343f066c7a0b127731a1fb52c2cffec3e0b,reject,x_axis_labels_unreadable_or_grouped_bars,x_axis_labels_unreadable_or_grouped_bars
phase2_review_32_s02451.png,2451,2caca632464806aeecfb4d76668d4015811ee432c0234ec18a7ee4c45ed08b95,reject,bar_count_out_of_scope,bar_count_out_of_scope
phase2_review_33_s06774.png,6774,da0d122726e7da8e8491f1f6b91d0f5b96a9d921e652071ce0c4bb6ad44b18d5,reject,direct_data_value_or_numeric_annotation_present,direct_data_value_or_numeric_annotation_present
phase2_review_34_s03010.png,3010,38f15cf099ed9e93bb9b54371ac38627ff959e10a73ce518ca1951349e4ea32d,reject,multiple_y_axes_or_panels,multiple_y_axes_or_panels
phase2_review_35_s07477.png,7477,a58a43d9e36091af944facbce4bb878978822a2ab018233e3a14bf4afcce7c35,reject,x_axis_labels_unreadable_or_grouped_bars,x_axis_labels_unreadable_or_grouped_bars
phase2_review_36_s02985.png,2985,803a9f426e20091e51dc36885803ca7b2465127132a702f0cb98d14a01fe9474,reject,bar_count_out_of_scope,bar_count_out_of_scope
phase2_review_37_s05466.png,5466,a3658a926f147abfd2d04da35c6f54893c89886746075500a96a6acd546d4b88,reject,direct_data_value_or_numeric_annotation_present,direct_data_value_or_numeric_annotation_present
phase2_review_38_s05100.png,5100,83aa7f614c60dce753a4f4be142634809b6f072946315bc50411be12f3148598,reject,x_axis_labels_unreadable_or_grouped_bars,x_axis_labels_unreadable_or_grouped_bars
phase2_review_39_s03993.png,3993,a4e74ae1c571e199340688ce336223c6ac0f7d0f6419fcb47989736f7319815f,reject,bar_count_out_of_scope,bar_count_out_of_scope
